Mass (g),Luminosity (erg/s),Pressure (dyn/cm^2),Radius (cm),Temperature (K),Energy Generation Rate (erg/g/s),Opacity (cm^2/g),Adiabatic Gradient,Radiative Gradient,Convective or Radiative
9.102810810810811e+32,4.796713439995162e+33,2.7013884729895096e+16,15449059764.427784,7737992.811578179,0.34378588663754744,0.538662204993143,0.3995991932404239,0.08432073296656092,RAD
9.11177027027027e+32,4.797020695449031e+33,2.6937920400096904e+16,15460603544.069492,7733853.843507635,0.342068026918598,0.5388843777599491,0.3995989228131787,0.08422102142504177,RAD
9.12072972972973e+32,4.7973264149567294e+33,2.686210820361099e+16,15472156426.12711,7729715.822658197,0.3403575484429054,0.5391069349294403,0.3995986515496837,0.08412139013561726,RAD
9.129689189189189e+32,4.797630605059559e+33,2.6786447919206644e+16,15483718441.46343,7725578.739354021,0.3386544225369071,0.5393298751467904,0.39959837944858734,0.08402183879915837,RAD
9.138648648648649e+32,4.79793327227736e+33,2.671093932601341e+16,15495289621.032244,7721442.58396619,0.3369586206473264,0.5395531970334562,0.39959810650852146,0.08392236711214075,RAD
9.147608108108109e+32,4.7982344231085105e+33,2.663558220352116e+16,15506869995.878307,7717307.346912717,0.33527011434054116,0.5397768991870764,0.3995978327281023,0.08382297476666146,RAD
9.156567567567569e+32,4.7985340640299267e+33,2.6560376331580068e+16,15518459597.137363,7713173.018658543,0.33358887530196146,0.5400009801813482,0.3995975581059299,0.08372366145045237,RAD
9.165527027027027e+32,4.7988322014970615e+33,2.6485321490400584e+16,15530058456.036137,7709039.589715536,0.33191487533540376,0.540225438565917,0.3995972826405872,0.0836244268468953,RAD
9.174486486486487e+32,4.7991288419439075e+33,2.6410417460553444e+16,15541666603.892334,7704907.05064249,0.33024808636247355,0.5404502728662565,0.3995970063306416,0.08352527063503648,RAD
9.183445945945947e+32,4.7994239917829933e+33,2.6335664022969692e+16,15553284072.114641,7700775.392045131,0.3285884804219431,0.5406754815835452,0.3995967291746435,0.0834261924895999,RAD
9.192405405405405e+32,4.7997176574053866e+33,2.6261060958940676e+16,15564910892.202726,7696644.604576109,0.3269360296691512,0.540901063194563,0.39959645117112713,0.08332719208100448,RAD
9.201364864864865e+32,4.8000098451806916e+33,2.6186608050118e+16,15576547095.747242,7692514.678935003,0.3252907063753791,0.5411270161515526,0.39959617231860967,0.08322826907537526,RAD
9.210324324324325e+32,4.800300561457052e+33,2.61123050785136e+16,15588192714.429815,7688385.605868319,0.3236524829272575,0.5413533388821166,0.3995958926155919,0.08312942313456086,RAD
9.219283783783785e+32,4.8005898125611483e+33,2.6038151826499692e+16,15599847780.02306,7684257.376169493,0.3220213318261564,0.5415800297890806,0.39959561206055777,0.08303065391614549,RAD
9.228243243243243e+32,4.800877604798198e+33,2.596414807680879e+16,15611512324.390568,7680129.980678888,0.3203972256875927,0.5418070872503866,0.39959533065197395,0.08293196107346569,RAD
9.237202702702703e+32,4.801163944451958e+33,2.5890293612533684e+16,15623186379.486917,7676003.410283793,0.31878013724062754,0.5420345096189515,0.39959504838829096,0.08283334425562194,RAD
9.246162162162163e+32,4.801448837784723e+33,2.581658821712747e+16,15634869977.35766,7671877.655918426,0.31717003932728116,0.542262295222564,0.3995947652679412,0.08273480310749651,RAD
9.255121621621621e+32,4.801732291037324e+33,2.574303167440356e+16,15646563150.139336,7667752.708563934,0.31556690490193845,0.5424904423637378,0.3995944812893406,0.08263633726976423,RAD
9.264081081081081e+32,4.80201431042913e+33,2.5669623768535612e+16,15658265930.059464,7663628.559248389,0.31397070703077035,0.5427189493196078,0.3995941964508882,0.0825379463789104,RAD
9.273040540540541e+32,4.80229490215805e+33,2.5596364284057616e+16,15669978349.436543,7659505.199046792,0.31238141889114285,0.5429478143417813,0.39959391075096495,0.08243963006724171,RAD
9.282000000000001e+32,4.8025740724005286e+33,2.5523253005863836e+16,15681700440.680054,7655382.619081075,0.3107990137710462,0.5431770356562292,0.39959362418793465,0.08234138796290362,RAD
